每天夜里都想你	1469864915
人在外面心在家	1469043059
舍不得离开	1459932928
人生就是一出戏	1459510642
今夜的你在陪着谁	1450982459
云月谣	1449614177
还没爱够	1444175945
飘雪的季节更想你	1413146709
不如向佛前	1409133988
暖暖的你	1408941720
爱的印记	1401006018
妈妈我想你	1398875958
走不出的思念	1392971193
浪漫夏季	1392970433
杨柳情思	1373847847
杨柳情思（伴奏）	1373851311
愁如海	1368726980
愁如海（伴奏）	1368739366
邂逅红尘	1365219396
邂逅红尘（伴奏）	1365219397
恩比天大	1366978426
情醉油菜花	1360600716
情醉油菜花 （伴奏）	1360600718
你是我心中的牵绊	1358215741
杜鹃醉	1348722495
为爱流泪的玫瑰花	1345810174
蔷薇赋	1341759026
思念花开	1341757304
放手爱	1341759028
你是我一生的骄傲	1341759024
我在梦里等你	1338229416
远去的妈妈	1333400104
好想陪在你身边	1333401078
 叹尘缘	1331890639
情迷心碎	1331890562
死心塌地	1294910473
深海的鱼	865021752
 爱不再回首 	864647895
父亲	864647882
最牵挂的你	865460918
殇花	865460975
心念	865460915
网络知己 	864639894
相伴一生 	865048707
雨中的想念 	865021776
 只为你牵挂 	864647916
心中的一首歌 	865021758
多想把你遇见 	865048691
花开时候	865048695
想念	573583571
痴恋	573581487
美人娇	546715205
情系今生	536629982
花落雨季	502709586
再唱梅殇吟	502706661
明月照小楼	494407676
飘雪的记忆	483671489
相思情难断	1410195857
